ymod,prat,cte,therm,ctemp,press,stress,displacement
267500000000,0.39445,5.85e-06,11.95,108.5,440100,478629348.694376,0.00070901225185454
238500000000,0.25015,1.315e-05,12.95,69.5,200700,1049106470.45941,0.00178438733051301
200500000000,0.22675,1.415e-05,8.35,216.5,113300,1094848029.22459,0.00227741066390893
233500000000,0.30475,1.425e-05,14.25,285.5,291900,1242687219.73162,0.00181732175716085
286500000000,0.45685,5.15e-06,8.45,174.5,470500,443940442.511851,0.000649547749204112
242500000000,0.43345,1.215e-05,12.35,54.5,295700,884014585.314044,0.00148953652149956
214500000000,0.25405,1.405e-05,13.35,51.5,345100,951388955.105089,0.00170729762534681
281500000000,0.42175,8.35e-06,13.45,228.5,424900,780759826.77823,0.000995723466964809
258500000000,0.44515,1.395e-05,8.85,255.5,421100,1146432064.43239,0.00174075523311385
287500000000,0.23455,8.95e-06,9.85,309.5,443900,989381447.203174,0.00114128072323634
284500000000,0.26575,8.65e-06,13.65,87.5,383100,794039906.789017,0.00103934384690453
220500000000,0.10195,1.445e-05,10.35,276.5,265300,1328515169.56751,0.00197296435578711
291500000000,0.21895,1.055e-05,6.65,159.5,326100,1061284042.07003,0.00149572746166875
273500000000,0.26965,1.205e-05,14.55,123.5,120900,1170307144.93029,0.00168604096461753
206500000000,0.18385,1.225e-05,6.05,90.5,462900,862938331.42701,0.00165579346873078
272500000000,0.37105,6.55e-06,6.25,135.5,269100,600783746.106882,0.00105612981078611
278500000000,0.20725,9.05e-06,5.85,63.5,428700,820495138.899412,0.00126059628907588
218500000000,0.22285,6.45e-06,14.65,231.5,288100,577043063.4526,0.000969077656233335
283500000000,0.33595,1.065e-05,8.95,204.5,432500,1006362662.63349,0.0013489333596899
240500000000,0.37495,8.75e-06,14.75,162.5,109500,790925444.321748,0.00140623824356482
243500000000,0.35935,1.115e-05,11.75,312.5,413500,959277661.671462,0.00139817737427641
282500000000,0.28915,5.55e-06,10.55,129.5,132300,602866943.266367,0.0010525177924164
259500000000,0.29695,5.35e-06,7.45,195.5,402100,471869279.715929,0.000752331384119727
234500000000,0.32035,8.45e-06,10.85,132.5,166500,712802389.787217,0.00137531018529986
269500000000,0.42955,1.265e-05,12.25,189.5,215900,1142839582.50424,0.0016424663200351
295500000000,0.33205,1.455e-05,9.45,282.5,371700,1505757776.28379,0.00187435297303825
241500000000,0.32425,7.45e-06,12.55,234.5,417300,620140935.525254,0.000926165020488998
237500000000,0.48805,8.05e-06,7.15,186.5,409700,639902513.38365,0.00104549733862262
219500000000,0.29305,6.05e-06,5.25,81.5,234900,477995803.317731,0.00122286123275791
227500000000,0.12535,5.45e-06,13.15,300.5,193100,598800898.496737,0.00102288800281303
270500000000,0.17215,1.195e-05,11.85,225.5,105700,1306049694.10222,0.00177277939394538
277500000000,0.48025,7.95e-06,13.75,240.5,246300,740034939.875148,0.000968644430140064
239500000000,0.27745,1.035e-05,14.95,246.5,219700,961804177.292489,0.00142973510608935
268500000000,0.47635,1.075e-05,5.35,84.5,242500,783310790.042856,0.00142252127840142
224500000000,0.16045,8.85e-06,13.25,141.5,337500,739221415.444477,0.00114648028681458
298500000000,0.32815,1.095e-05,11.45,138.5,231100,1087131107.74604,0.0014714279432533
299500000000,0.28525,1.385e-05,11.35,126.5,375500,1359583192.38661,0.00169188101800371
261500000000,0.44905,6.35e-06,12.45,336.5,147500,673087884.422439,0.00105091299782368
205500000000,0.39835,1.355e-05,10.25,279.5,405900,940492243.020944,0.00171323600911591
223500000000,0.48415,6.15e-06,5.45,72.5,177900,396789301.28567,0.000960128325855324
231500000000,0.38275,1.335e-05,9.15,201.5,174100,1062775981.05446,0.00194140587893023
293500000000,0.31645,7.65e-06,9.35,93.5,379300,696518975.145977,0.00100050303668733
201500000000,0.17605,9.35e-06,13.95,273.5,155100,834286514.440238,0.00151991532196372
232500000000,0.19945,5.95e-06,10.65,177.5,238700,556328012.795886,0.00102569383350635
217500000000,0.23065,8.55e-06,7.25,75.5,386900,595268931.22072,0.0012003321663756
221500000000,0.35545,7.55e-06,7.85,249.5,253900,617602387.604473,0.00120306622920436
253500000000,0.14875,9.85e-06,13.85,114.5,208300,947428198.634906,0.00138233426959083
294500000000,0.16435,8.25e-06,10.75,237.5,101900,1021809603.46157,0.00135309258779988
297500000000,0.43735,1.435e-05,8.55,153.5,329900,1291971802.60128,0.00181324639747129
263500000000,0.14095,7.15e-06,5.95,270.5,398300,744695103.013403,0.00101584331694731
247500000000,0.21115,1.235e-05,11.15,327.5,284300,1239799829.00539,0.00166677594096246
